Benchmark,Total Instructions,Total Branches,Cond Taken (%),Cond Not Taken (%),Unconditional (%),Calls (%),Returns (%)
401,288586987388,45686502043,34.86,49.52,9.75,2.93,2.93
403,142165130493,33846010305,36.33,40.1,9.26,7.15,7.15
410,2181032745109,128568446784,68.91,26.46,3.0,0.82,0.82
416,1042736435082,73894107084,47.04,43.49,7.42,1.03,1.03
429,304114927152,67874045713,37.96,57.59,3.28,0.59,0.59
433,1169067600886,67919982139,54.0,24.42,1.95,9.82,9.82
435,2070986368394,84256708323,31.07,62.88,4.27,0.89,0.89
436,2782892990464,4364068375,95.22,3.73,0.19,0.43,0.43
437,1516975662927,119714174689,95.56,4.43,0.01,0.0,0.0
450,350312741178,57373565223,54.7,35.5,3.28,3.26,3.26
456,875469100938,42158928449,64.99,33.74,0.53,0.38,0.38
459,1475062506601,47113489631,72.1,16.48,5.22,3.1,3.1
464,495495984096,48075992508,50.49,17.66,6.92,12.46,12.46
470,1273858825997,15278517548,3.45,72.47,24.05,0.02,0.02
471,564555223493,138063849787,20.95,46.71,8.6,11.87,11.87
483,921151284261,286420159340,26.42,56.5,2.61,7.24,7.24
